,client_number,company_name,order_number,order_amount,order_date,paid,contact_first_name,contact_last_name,email,phone
0,184.0,Zoomcast,485495,$2096568.72,2/21/2020,0,Ardyce,Stones,astonesz@guardian.co.uk,945-653-1029
1,,Buzzbean,175468,$1607033.03,6/10/2021,1,,,,
2,,Twitternation,6841,$2938905.06,6/2/2021,0,,,,
3,175.0,Topiczoom,335932,$2687554.82,8/17/2021,1,Danyelle,Feldman,dfeldman14@ox.ac.uk,123-941-2908
4,182.0,Youbridge,81726,$2206870.49,12/17/2020,0,Kylen,Daughton,kdaughton22@washington.edu,123-917-7150
5,,Yakijo,938932,$900012.38,1/25/2021,0,,,,
6,,Divavu,857318,$2589224.75,8/5/2020,1,,,,
7,,Skajo,944858,$545984.63,11/3/2021,1,,,,
8,174.0,Topicshots,911461,$512993.44,2/7/2021,0,Ajay,Hamley,ahamley2j@narod.ru,239-907-2012
9,,Kwideo,571862,$2905127.21,2/20/2021,1,,,,
10,,Realbuzz,398230,$896149.13,7/7/2020,1,,,,
11,178.0,Vinder,361120,$1533288.84,11/12/2021,0,Kristien,Heaford,kheaford2n@unicef.org,212-950-2416
12,,Devcast,441546,$684204.84,11/30/2020,0,,,,
13,,Jamia,674503,$1203020.19,3/19/2021,0,,,,
14,154.0,Photofeed,208831,$216396.73,3/2/2020,1,Sharyl,Billany,sbillany27@github.io,315-769-9653
15,105.0,Brainbox,591149,$268598.55,5/12/2020,1,Jodie,Francombe,jfrancombew@google.com.hk,117-975-1987
16,,Abatz,70817,$2399041.79,4/22/2021,0,,,,
17,158.0,Realcube,485942,$1271734.30,9/7/2021,1,Paul,Egan,pegan2i@cafepress.com,809-144-4834
18,,Twimm,1586,$1613750.41,12/31/2021,1,,,,
19,,BlogXS,250712,$1241424.67,7/21/2021,0,,,,
20,,Yoveo,241126,$535564.98,8/24/2020,0,,,,
21,,Midel,59192,$1666373.95,12/8/2021,1,,,,
22,,Janyx,537651,$792387.13,10/25/2020,0,,,,
23,138.0,Kazu,244932,$1494978.55,3/7/2020,0,Stacee,Langford,slangford2o@mozilla.com,474-959-0252
24,,Oyoba,806459,$2987405.59,6/11/2020,0,,,,
25,128.0,Flashpoint,868876,$1614889.70,3/20/2020,1,Dilly,Brampton,dbramptone@edublogs.org,384-394-9208
26,,Kwideo,766313,$647709.82,5/24/2021,0,,,,
27,,Topicware,720616,$235476.34,11/5/2021,1,,,,
28,,Wikizz,978278,$1692282.96,2/24/2022,0,,,,
29,,Thoughtworks,870889,$2158940.17,11/6/2020,1,,,,
30,,Jaxworks,175623,$1047991.30,12/30/2021,0,,,,
31,,Snaptags,202615,$2235972.98,2/10/2021,1,,,,
32,,Yombu,875593,$923100.48,1/11/2022,1,,,,
33,,Skinder,113696,$949982.98,8/26/2020,0,,,,
34,,Shufflebeat,197482,$1810987.37,5/10/2021,1,,,,
35,,Jamia,330765,$1072587.30,3/5/2020,0,,,,
36,,Skinte,469115,$2172618.82,11/18/2020,0,,,,
37,,Brainverse,214202,$2459146.86,12/2/2020,0,,,,
38,,Eayo,650483,$717155.94,10/24/2021,0,,,,
39,,Edgepulse,126118,$1508322.32,8/19/2021,0,,,,
40,135.0,Jayo,332751,$442076.77,9/23/2021,1,Maressa,Pickthall,mpickthall19@tripadvisor.com,951-232-9353
41,,Topiclounge,660147,$2271324.05,9/30/2020,0,,,,
42,,Fanoodle,59260,$832731.86,12/12/2020,0,,,,
43,175.0,Topiczoom,187669,$155825.71,7/7/2021,1,Danyelle,Feldman,dfeldman14@ox.ac.uk,123-941-2908
44,182.0,Youbridge,166733,$2426338.00,4/15/2020,0,Kylen,Daughton,kdaughton22@washington.edu,123-917-7150
45,,Demimbu,179503,$2082571.99,6/15/2020,1,,,,
46,,Kimia,103981,$91321.77,9/23/2021,0,,,,
47,,Zooxo,100899,$2470548.58,4/8/2020,1,,,,
48,,Flipopia,300429,$887852.30,2/9/2022,0,,,,
49,,Wordpedia,89503,$2404898.26,5/2/2021,0,,,,
50,,Skiptube,312881,$1164898.86,7/5/2020,1,,,,
51,,Zoonoodle,593141,$2603153.30,3/12/2022,1,,,,
52,125.0,Feedfish,797597,$1072392.03,9/20/2021,1,Jerri,Husthwaite,jhusthwaite28@omniture.com,541-934-0334
53,,Devcast,806176,$2826322.52,11/14/2021,1,,,,
54,,Fliptune,136572,$386066.99,11/30/2021,0,,,,
55,,Yabox,434549,$895857.09,3/9/2022,0,,,,
56,,Midel,270254,$828832.16,7/4/2020,1,,,,
57,175.0,Topiczoom,75294,$2388413.82,9/14/2020,0,Danyelle,Feldman,dfeldman14@ox.ac.uk,123-941-2908
58,158.0,Realcube,868001,$1138532.86,7/9/2020,0,Paul,Egan,pegan2i@cafepress.com,809-144-4834
59,,Tazzy,696172,$2437870.58,7/7/2021,1,,,,
60,154.0,Photofeed,217649,$12361.46,10/31/2021,1,Sharyl,Billany,sbillany27@github.io,315-769-9653
61,,Skiptube,953366,$263162.28,8/4/2021,0,,,,
62,,Yodo,22772,$2575419.21,4/16/2021,1,,,,
63,,Jetwire,553965,$1026227.21,12/22/2020,0,,,,
64,,Cogidoo,784000,$549907.95,4/15/2020,1,,,,
65,135.0,Jayo,545282,$1294122.42,5/31/2021,1,Maressa,Pickthall,mpickthall19@tripadvisor.com,951-232-9353
66,,Yakitri,365382,$1432700.81,12/7/2021,1,,,,
67,,Linklinks,561112,$789139.95,2/9/2020,0,,,,
68,144.0,Minyx,866956,$2641629.72,1/21/2022,1,Stefania,Drews,sdrews16@weibo.com,763-371-5912
69,118.0,Dynabox,757799,$2747271.65,2/5/2021,0,Paul,Vittori,pvittori2c@psu.edu,348-431-0758
70,163.0,Riffpedia,21251,$372321.08,3/7/2022,0,Nickolas,Lambert,nlambert18@nbcnews.com,538-484-7243
71,,Rhynyx,125413,$899148.54,12/14/2020,0,,,,
72,147.0,Mynte,669194,$1349663.18,5/4/2021,0,Darda,Iacapucci,diacapucci10@nbcnews.com,478-935-9950
73,,Edgeblab,793317,$2572682.13,3/5/2022,1,,,,
74,123.0,Fatz,870725,$2913592.75,8/18/2020,0,Beitris,Jorioz,bjoriozt@dell.com,459-837-8157
75,,Viva,266902,$1217924.55,10/18/2021,1,,,,
76,,Yakijo,779081,$407226.23,1/24/2020,1,,,,
77,,Jetpulse,724223,$2246047.50,6/13/2020,1,,,,
78,,Twinte,239898,$2835113.03,1/4/2021,1,,,,
79,,Devpoint,700290,$327327.50,11/10/2020,1,,,,
80,,Fivechat,387959,$1291823.28,9/11/2021,0,,,,
81,,Dabtype,634495,$1230775.28,2/28/2022,0,,,,
82,,Feedfire,985411,$1832504.10,9/5/2020,1,,,,
